"","Triglycerides_VLDL","Triglycerides_IDL","Triglycerides_LDL","Triglycerides_HDL","Cholesterol_VLDL","Cholesterol_IDL","Cholesterol_LDL","Cholesterol_HDL","FreeCholesterol_VLDL","FreeCholesterol_IDL","FreeCholesterol_LDL","FreeCholesterol_HDL","Phospholipids_VLDL","Phospholipids_IDL","Phospholipids_LDL","Phospholipids_HDL","ApoA1_HDL","ApoA2_HDL","ApoB_VLDL","ApoB_IDL","ApoB_LDL"
"Triglycerides_VLDL",1,0.656732483995467,0,0,0,0,0,0,0,0,0,0,0.277334210954103,0.184331187402525,0,0,0,0.317073934079424,0,0,0
"Triglycerides_IDL",0.656732483995467,1,0,0,0,0,0,0,0,0,0,0,0,0.224794667056949,0,0.231778609904772,0,-0.283934417260971,0,0,0
"Triglycerides_LDL",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257817675416852,0.583758545037161
"Triglycerides_HDL",0,0,0,1,0,0,0,-0.559087429270349,0,0,0,0.293989659273557,0,0,0,0,0.434943911603614,-0.332752517430081,0,0,0
"Cholesterol_VLDL",0,0,0,0,1,0,0,0,0.344074158415328,0,-0.219200425190481,0,0,0.290088240650928,0,0,0,0,0.276928309079725,0,0
"Cholesterol_IDL",0,0,0,0,0,1,0,0,0,0.66127637342701,0,0,0,0,0,0,0,0,0,0.445443354604208,0
"Cholesterol_LDL",0,0,0,0,0,0,1,0,0,0,0.307991183676195,0,0,0.182745395549646,0.421784111618639,-0.243546520862422,0.321587338663395,-0.270925891601424,0,0,0
"Cholesterol_HDL",0,0,0,-0.55908742927035,0,0,0,1,0,0,0,0.393810174310718,0,0,0,0.390729852623379,0.46709789558077,0,0,0,0
"FreeCholesterol_VLDL",0,0,0,0,0.344074158415329,0,0,0,1,0,0,0,0.479324505422782,0,0,0,0,0,0.298676392910423,0,0
"FreeCholesterol_IDL",0,0,0,0,0,0.66127637342701,0,0,0,1,0,0,0,0.204924554773702,0,0,0,0,0,0.218192340526876,0
"FreeCholesterol_LDL",0,0,0,0,-0.219200425190481,0,0.307991183676195,0,0,0,1,0.376572117318269,0.283366658336439,0,0.459633841610827,0,0,0,0,0,0
"FreeCholesterol_HDL",0,0,0,0.293989659273557,0,0,0,0.393810174310718,0,0,0.376572117318269,1,0,-0.287798766307098,0,0.358521767353219,0,0,0,-0.265391097635748,0
"Phospholipids_VLDL",0.277334210954103,0,0,0,0,0,0,0,0.479324505422782,0,0.283366658336439,0,1,0,0,0,0,0,0.235211510538179,0,0
"Phospholipids_IDL",0.184331187402525,0.224794667056949,0,0,0.290088240650928,0,0.182745395549646,0,0,0.204924554773702,0,-0.287798766307098,0,1,0,0,0,0,0,0,0
"Phospholipids_LDL",0,0,0,0,0,0,0.421784111618639,0,0,0,0.459633841610827,0,0,0,1,0,0,0,0,0,0.368542131460664
"Phospholipids_HDL",0,0.231778609904772,0,0,0,0,-0.243546520862422,0.390729852623379,0,0,0,0.35852176735322,0,0,0,1,0,0.27364522061889,0,0,0
"ApoA1_HDL",0,0,0,0.434943911603614,0,0,0.321587338663395,0.46709789558077,0,0,0,0,0,0,0,0,1,0.493001424750599,0.198441292704702,0,0
"ApoA2_HDL",0.317073934079424,-0.283934417260972,0,-0.332752517430081,0,0,-0.270925891601425,0,0,0,0,0,0,0,0,0.27364522061889,0.493001424750598,1,-0.28989655542017,0,0.470189552778487
"ApoB_VLDL",0,0,0,0,0.276928309079725,0,0,0,0.298676392910423,0,0,0,0.235211510538179,0,0,0,0.198441292704702,-0.28989655542017,1,0,0
"ApoB_IDL",0,0,0.257817675416853,0,0,0.445443354604208,0,0,0,0.218192340526875,0,-0.265391097635748,0,0,0,0,0,0,0,1,0
"ApoB_LDL",0,0,0.583758545037161,0,0,0,0,0,0,0,0,0,0,0,0.368542131460663,0,0,0.470189552778486,0,0,1
