"","Triglycerides_VLDL","Triglycerides_IDL","Triglycerides_LDL","Triglycerides_HDL","Cholesterol_VLDL","Cholesterol_IDL","Cholesterol_LDL","Cholesterol_HDL","FreeCholesterol_VLDL","FreeCholesterol_IDL","FreeCholesterol_LDL","FreeCholesterol_HDL","Phospholipids_VLDL","Phospholipids_IDL","Phospholipids_LDL","Phospholipids_HDL","ApoA1_HDL","ApoA2_HDL","ApoB_VLDL","ApoB_IDL","ApoB_LDL"
"Triglycerides_VLDL",1,0.513768472813996,0,0,0,0,0,0,0.157065671287037,0,0,0,0.257744973292975,0.188517620036793,0,0,0,0.253922445130467,0,0,0
"Triglycerides_IDL",0.513768472813996,1,0,0,0,0,0,0,0,0,0,-0.176203327561229,0,0.275213010314491,0,0,0,0,0,0,0
"Triglycerides_LDL",0,0,1,0.297936121555259,0,0,0,0,0,0,0,0,-0.16931173287256,0,0,0,0,0,0,0.248148619457228,0.654572712050762
"Triglycerides_HDL",0,0,0.297936121555258,1,0,0,0,-0.281445245362083,0,0,0,0,0,0,0,0,0.398248431815374,-0.316298427965149,0,0,0
"Cholesterol_VLDL",0,0,0,0,1,0,0,0,0.256877412522111,0,0,0,0,0.184140937231243,0,0,0,0,0.286265931451575,0,0
"Cholesterol_IDL",0,0,0,0,0,1,0,0,0,0.50398229805501,0,0,0,0,0,0,0,0,0,0.427617130760072,0
"Cholesterol_LDL",0,0,0,0,0,0,1,0,0,0,0.282163563424833,0,0,0.157495652667202,0.381466455637313,0,0.275323234690025,-0.260509336056805,0,0,0.226214911999729
"Cholesterol_HDL",0,0,0,-0.281445245362083,0,0,0,1,0,0,0,0.380662730213818,0,0,0,0.314213582184272,0.387426852783443,0,0,0,0
"FreeCholesterol_VLDL",0.157065671287037,0,0,0,0.256877412522111,0,0,0,1,0,0,0,0.347263450443281,0,0,0,0,0,0.26150429083975,0,0
"FreeCholesterol_IDL",0,0,0,0,0,0.50398229805501,0,0,0,1,0,0,0,0,0,0,0,0,0,0.315716438579022,0
"FreeCholesterol_LDL",0,0,0,0,0,0,0.282163563424833,0,0,0,1,0.327107040393617,0.231100053918132,0,0.405862640498852,0,0,0,0,0,0
"FreeCholesterol_HDL",0,-0.176203327561229,0,0,0,0,0,0.380662730213819,0,0,0.327107040393618,1,0,-0.180235589906612,0,0.38471631916511,0,0,0,-0.211414842856867,0
"Phospholipids_VLDL",0.257744973292974,0,-0.16931173287256,0,0,0,0,0,0.347263450443281,0,0.231100053918132,0,1,0,0,0,0,0,0.215422888450038,0,0
"Phospholipids_IDL",0.188517620036793,0.275213010314491,0,0,0.184140937231242,0,0.157495652667202,0,0,0,0,-0.180235589906612,0,1,0,0,0.157406337907535,0,0,0,0
"Phospholipids_LDL",0,0,0,0,0,0,0.381466455637313,0,0,0,0.405862640498852,0,0,0,1,0,0,0,0,0,0.30382487348209
"Phospholipids_HDL",0,0,0,0,0,0,0,0.314213582184272,0,0,0,0.38471631916511,0,0,0,1,0.207395202491198,0.27210842728429,0,0,0
"ApoA1_HDL",0,0,0,0.398248431815375,0,0,0.275323234690025,0.387426852783443,0,0,0,0,0,0.157406337907535,0,0.207395202491198,1,0.382431920433098,0,0,0
"ApoA2_HDL",0.253922445130467,0,0,-0.316298427965149,0,0,-0.260509336056805,0,0,0,0,0,0,0,0,0.272108427284289,0.382431920433099,1,-0.163761283307853,0,0.403171025289744
"ApoB_VLDL",0,0,0,0,0.286265931451575,0,0,0,0.26150429083975,0,0,0,0.215422888450038,0,0,0,0,-0.163761283307853,1,0,0
"ApoB_IDL",0,0,0.248148619457228,0,0,0.427617130760072,0,0,0,0.315716438579022,0,-0.211414842856867,0,0,0,0,0,0,0,1,0
"ApoB_LDL",0,0,0.654572712050762,0,0,0,0.226214911999729,0,0,0,0,0,0,0,0.30382487348209,0,0,0.403171025289745,0,0,1
