"","Triglycerides_VLDL","Triglycerides_IDL","Triglycerides_LDL","Triglycerides_HDL","Cholesterol_VLDL","Cholesterol_IDL","Cholesterol_LDL","Cholesterol_HDL","FreeCholesterol_VLDL","FreeCholesterol_IDL","FreeCholesterol_LDL","FreeCholesterol_HDL","Phospholipids_VLDL","Phospholipids_IDL","Phospholipids_LDL","Phospholipids_HDL","ApoA1_HDL","ApoA2_HDL","ApoB_VLDL","ApoB_IDL","ApoB_LDL"
"Triglycerides_VLDL",1,0.516824050281228,0,0,0,0,0,0,0.153290653545472,0,0,0,0.251036970006686,0.191744681272389,0,0,0,0.251456209005052,0,0,0
"Triglycerides_IDL",0.516824050281228,1,0,0,0,0,0,0,0,0,0,-0.195679570017279,0,0.2635662173137,0,0,0,0,0,0,0
"Triglycerides_LDL",0,0,1,0,0,0,0,0,0,0,0,0,-0.178823242794981,0,0,0,0,0,0,0.257746290009092,0.642285317958471
"Triglycerides_HDL",0,0,0,1,0,0,0,-0.309442585675933,0,0,0,0,0,0,0,0,0.414365743473481,-0.350865029481479,0,0,0
"Cholesterol_VLDL",0,0,0,0,1,0,0,0,0.264783817877106,0,0,0,0,0.179737698067734,0,0,0,0,0.292918378470639,0,0
"Cholesterol_IDL",0,0,0,0,0,1,0,0,0,0.506578086940868,0,0,0,0,0,0,0,0,0,0.435592402939234,0
"Cholesterol_LDL",0,0,0,0,0,0,1,0,0,0,0.280852239844463,0,0,0.152034165230139,0.361630932007907,0,0.275643447029305,-0.253270042221505,0,0,0.22708712179981
"Cholesterol_HDL",0,0,0,-0.309442585675933,0,0,0,1,0,0,0,0.359766438415672,0,0,0,0.323543100619464,0.40420078855614,0,0,0,0
"FreeCholesterol_VLDL",0.153290653545472,0,0,0,0.264783817877106,0,0,0,1,0,0,0,0.351766107742464,0,0,0,0,0,0.261076405151964,0,0
"FreeCholesterol_IDL",0,0,0,0,0,0.506578086940868,0,0,0,1,0,0,0,0,0,0,0,0,0,0.30932141020476,0
"FreeCholesterol_LDL",0,0,0,0,0,0,0.280852239844463,0,0,0,1,0.332627460750642,0.213197053093534,0,0.404327845490028,0,0,0,0,0,0
"FreeCholesterol_HDL",0,-0.195679570017279,0,0,0,0,0,0.359766438415672,0,0,0.332627460750642,1,0,0,0,0.398359691018534,0,0,0,-0.218611871521936,0
"Phospholipids_VLDL",0.251036970006686,0,-0.178823242794981,0,0,0,0,0,0.351766107742464,0,0.213197053093534,0,1,0,0,0,0,0,0.225672691250189,0,0
"Phospholipids_IDL",0.19174468127239,0.2635662173137,0,0,0.179737698067734,0,0.152034165230139,0,0,0,0,0,0,1,0,0,0.148280907678537,0,0,0,0
"Phospholipids_LDL",0,0,0,0,0,0,0.361630932007907,0,0,0,0.404327845490028,0,0,0,1,0,0,0,0,0,0.303670539298306
"Phospholipids_HDL",0,0,0,0,0,0,0,0.323543100619464,0,0,0,0.398359691018534,0,0,0,1,0,0.338577046332577,0,0,0
"ApoA1_HDL",0,0,0,0.41436574347348,0,0,0.275643447029304,0.40420078855614,0,0,0,0,0,0.148280907678537,0,0,1,0.395599826424593,0,0,0
"ApoA2_HDL",0.251456209005052,0,0,-0.350865029481478,0,0,-0.253270042221505,0,0,0,0,0,0,0,0,0.338577046332576,0.395599826424593,1,-0.169905290821879,0,0.415231126486433
"ApoB_VLDL",0,0,0,0,0.292918378470639,0,0,0,0.261076405151964,0,0,0,0.22567269125019,0,0,0,0,-0.169905290821879,1,0,0
"ApoB_IDL",0,0,0.257746290009092,0,0,0.435592402939234,0,0,0,0.30932141020476,0,-0.218611871521935,0,0,0,0,0,0,0,1,0
"ApoB_LDL",0,0,0.642285317958471,0,0,0,0.227087121799809,0,0,0,0,0,0,0,0.303670539298306,0,0,0.415231126486433,0,0,1
