"","Triglycerides_VLDL","Triglycerides_IDL","Triglycerides_LDL","Triglycerides_HDL","Cholesterol_VLDL","Cholesterol_IDL","Cholesterol_LDL","Cholesterol_HDL","FreeCholesterol_VLDL","FreeCholesterol_IDL","FreeCholesterol_LDL","FreeCholesterol_HDL","Phospholipids_VLDL","Phospholipids_IDL","Phospholipids_LDL","Phospholipids_HDL","ApoA1_HDL","ApoA2_HDL","ApoB_VLDL","ApoB_IDL","ApoB_LDL"
"Triglycerides_VLDL",1,0.201602929579104,0,0,0.151087692770309,0,0,0,0.187700252083036,0,0,0,0.255407224844455,0,0,0,0,0,0,0,0
"Triglycerides_IDL",0.201602929579104,1,0,0,0.127732380909495,0,0,0,0,0,0,0,0,0.150749119316522,0,0,0,0,0.148979496523217,0,0
"Triglycerides_LDL",0,0,1,0.361613576863665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33984340240172
"Triglycerides_HDL",0,0,0.361613576863665,1,0,0,0,0,0,0,0,0,0,0,0,0,0.207878524694776,0,0,0,0
"Cholesterol_VLDL",0.151087692770309,0.127732380909495,0,0,1,0,0,0,0.196320515689246,0,0,0,0,0,0,0,0,0,0.178915589656841,0,0
"Cholesterol_IDL",0,0,0,0,0,1,0,0,0,0.284786852749956,0,0,0,0,0,0,0,0,0,0.26177729115737,0
"Cholesterol_LDL",0,0,0,0,0,0,1,0,0,0,0.251710094796821,0,0,0.142658464773999,0.28772721121344,0,0,0,0,0,0.194499203748667
"Cholesterol_HDL",0,0,0,0,0,0,0,1,0,0,0,0.319771846911937,0,0,0,0.26346142780145,0.240770893621367,0,0,0,0
"FreeCholesterol_VLDL",0.187700252083035,0,0,0,0.196320515689246,0,0,0,1,0,0,0,0.253809275027876,0,0,0,0,0,0.18328292076329,0,0
"FreeCholesterol_IDL",0,0,0,0,0,0.284786852749956,0,0,0,1,0,0,0,0.121689764319772,0,0,0,0,0,0.235773737967559,0
"FreeCholesterol_LDL",0,0,0,0,0,0,0.251710094796821,0,0,0,1,0,0,0,0.262903316325181,0,0,0,0,0,0.21868398366693
"FreeCholesterol_HDL",0,0,0,0,0,0,0,0.319771846911937,0,0,0,1,0,0,0,0.327896717778109,0,0,0,0,0
"Phospholipids_VLDL",0.255407224844455,0,0,0,0,0,0,0,0.253809275027876,0,0,0,1,0,0,0,0,0,0,0,0
"Phospholipids_IDL",0,0.150749119316522,0,0,0,0,0.142658464773999,0,0,0.121689764319772,0,0,0,1,0,0,0,0,0,0,0
"Phospholipids_LDL",0,0,0,0,0,0,0.28772721121344,0,0,0,0.262903316325181,0,0,0,1,0,0,0,0,0,0.240447840121635
"Phospholipids_HDL",0,0,0,0,0,0,0,0.26346142780145,0,0,0,0.327896717778109,0,0,0,1,0.210258270354114,0,0,0,0
"ApoA1_HDL",0,0,0,0.207878524694776,0,0,0,0.240770893621367,0,0,0,0,0,0,0,0.210258270354114,1,0.188126385757456,0,0,0
"ApoA2_HDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188126385757456,1,0,0,0
"ApoB_VLDL",0,0.148979496523217,0,0,0.178915589656841,0,0,0,0.18328292076329,0,0,0,0,0,0,0,0,0,1,0,0
"ApoB_IDL",0,0,0,0,0,0.26177729115737,0,0,0,0.235773737967559,0,0,0,0,0,0,0,0,0,1,0
"ApoB_LDL",0,0,0.33984340240172,0,0,0,0.194499203748667,0,0,0,0.21868398366693,0,0,0,0.240447840121635,0,0,0,0,0,1
