"","Triglycerides_VLDL","Triglycerides_IDL","Triglycerides_LDL","Triglycerides_HDL","Cholesterol_VLDL","Cholesterol_IDL","Cholesterol_LDL","Cholesterol_HDL","FreeCholesterol_VLDL","FreeCholesterol_IDL","FreeCholesterol_LDL","FreeCholesterol_HDL","Phospholipids_VLDL","Phospholipids_IDL","Phospholipids_LDL","Phospholipids_HDL","ApoA1_HDL","ApoA2_HDL","ApoB_VLDL","ApoB_IDL","ApoB_LDL"
"Triglycerides_VLDL",1,0.305494190210752,0,0,0.150849530475579,0,0,0,0.165966271628403,0,0,0,0.218206952127322,0.140271108609364,0,0,0,0,0,0,0
"Triglycerides_IDL",0.305494190210752,1,0,0,0,0,0,0,0,0,0,0,0,0.208510486157201,0,0,0,0,0,0,0
"Triglycerides_LDL",0,0,1,0.269613374595785,0,0,0,0,0,0,0,0,-0.176088501331338,0,0,0,0,0,0,0.177240810918332,0.409847952248587
"Triglycerides_HDL",0,0,0.269613374595786,1,0,0,0,0,0,0,-0.168518789917154,0,0,0,0,0,0.304052722585067,0,0,0,0
"Cholesterol_VLDL",0.150849530475579,0,0,0,1,0,0,0,0.189826675217839,0,0,0,0,0.135429189280967,0,0,0,0,0.213233778293158,0,0
"Cholesterol_IDL",0,0,0,0,0,1,0,0,0,0.383374107422411,0,0,0,0,0,0,0,0,0,0.289954009517111,0
"Cholesterol_LDL",0,0,0,0,0,0,1,0,0,0,0.297353750544945,0,0,0.142398511605427,0.334471667556362,0,0.157211170043759,0,0,0,0.194430341710193
"Cholesterol_HDL",0,0,0,0,0,0,0,1,0,0,0,0.410495127757614,0,0,0,0.289693549239908,0.275068500186786,0,0,0,0
"FreeCholesterol_VLDL",0.165966271628403,0,0,0,0.189826675217839,0,0,0,1,0,0,0,0.306770638231552,0,0,0,0,0,0.223468417696294,0,0
"FreeCholesterol_IDL",0,0,0,0,0,0.383374107422411,0,0,0,1,0,0,0,0.15950467907567,0,0,0,0,0,0.264312560444156,0
"FreeCholesterol_LDL",0,0,0,-0.168518789917154,0,0,0.297353750544945,0,0,0,1,0,0,0,0.309688873394671,0,0,0,0,0,0.204718507887081
"FreeCholesterol_HDL",0,0,0,0,0,0,0,0.410495127757613,0,0,0,1,0,0,0,0.322815039871246,0,0,0,0,0
"Phospholipids_VLDL",0.218206952127322,0,-0.176088501331338,0,0,0,0,0,0.306770638231552,0,0,0,1,0,0,0,0,0,0,0,0
"Phospholipids_IDL",0.140271108609364,0.208510486157201,0,0,0.135429189280967,0,0.142398511605427,0,0,0.15950467907567,0,0,0,1,0,0,0,0,0,0,0
"Phospholipids_LDL",0,0,0,0,0,0,0.334471667556362,0,0,0,0.309688873394671,0,0,0,1,0,0,0,0,0,0.244566076791628
"Phospholipids_HDL",0,0,0,0,0,0,0,0.289693549239908,0,0,0,0.322815039871246,0,0,0,1,0.219189357142309,0.269582817629144,0,0,0
"ApoA1_HDL",0,0,0,0.304052722585067,0,0,0.157211170043759,0.275068500186786,0,0,0,0,0,0,0,0.219189357142309,1,0.254187925827521,0,0,0
"ApoA2_HDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269582817629144,0.254187925827521,1,0,0,0.220760756678167
"ApoB_VLDL",0,0,0,0,0.213233778293158,0,0,0,0.223468417696294,0,0,0,0,0,0,0,0,0,1,0,0
"ApoB_IDL",0,0,0.177240810918332,0,0,0.289954009517111,0,0,0,0.264312560444156,0,0,0,0,0,0,0,0,0,1,0
"ApoB_LDL",0,0,0.409847952248587,0,0,0,0.194430341710193,0,0,0,0.204718507887081,0,0,0,0.244566076791628,0,0,0.220760756678167,0,0,1
