"","Triglycerides_VLDL","Triglycerides_IDL","Triglycerides_LDL","Triglycerides_HDL","Cholesterol_VLDL","Cholesterol_IDL","Cholesterol_LDL","Cholesterol_HDL","FreeCholesterol_VLDL","FreeCholesterol_IDL","FreeCholesterol_LDL","FreeCholesterol_HDL","Phospholipids_VLDL","Phospholipids_IDL","Phospholipids_LDL","Phospholipids_HDL","ApoA1_HDL","ApoA2_HDL","ApoB_VLDL","ApoB_IDL","ApoB_LDL"
"Triglycerides_VLDL",1,0.479954351550943,0,0,0,0,0,0,0,0,0,0,0.302953282178828,0.196619862893435,0,0,0,0.330620213524646,0,0,0
"Triglycerides_IDL",0.479954351550943,1,0,0,0,0,0,0,0,0,0,0,0,0.273922762730123,0,0.218449222161823,0,0,0,0,0
"Triglycerides_LDL",0,0,1,0.298048112470215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247065572191074,0.552235147244674
"Triglycerides_HDL",0,0,0.298048112470216,1,0,0,0,-0.35208215086918,0,0,0,0,0,0,0,0,0.427451185025414,-0.396065315488687,0,0,0
"Cholesterol_VLDL",0,0,0,0,1,0,0,0,0.307386168974642,0,-0.172074564776274,0,0,0.180500753088137,0,0,0,0,0.27239782269067,0,0
"Cholesterol_IDL",0,0,0,0,0,1,0,0,0,0.598654437844357,0,0,0,0,0,0,0,0,0,0.37610549124098,0
"Cholesterol_LDL",0,0,0,0,0,0,1,0,0,0,0.333116550548754,0,0,0,0.382726431662806,0,0.25682558789726,-0.241947275507828,0,0,0
"Cholesterol_HDL",0,0,0,-0.35208215086918,0,0,0,1,0,0,0,0.366995651242115,0,0,0,0.400234148372515,0.393005780628006,0,0,0,0
"FreeCholesterol_VLDL",0,0,0,0,0.307386168974642,0,0,0,1,0,0,0.189794082076937,0.43351568177972,0,0,0,0,0,0.30779986089564,0,0
"FreeCholesterol_IDL",0,0,0,0,0,0.598654437844357,0,0,0,1,0,0,0,0.227832859459693,0,0,0,0,0,0.270209336763065,0
"FreeCholesterol_LDL",0,0,0,0,-0.172074564776274,0,0.333116550548754,0,0,0,1,0.301915957128687,0.237012375851952,0,0.408905291315597,0,0,0,0,0,0
"FreeCholesterol_HDL",0,0,0,0,0,0,0,0.366995651242115,0.189794082076937,0,0.301915957128687,1,0,-0.258748792719194,0,0.373313480009465,0,0,0,-0.226136567590126,0
"Phospholipids_VLDL",0.302953282178828,0,0,0,0,0,0,0,0.43351568177972,0,0.237012375851951,0,1,0,0,0,0,0,0.163639414011708,0,0
"Phospholipids_IDL",0.196619862893435,0.273922762730123,0,0,0.180500753088137,0,0,0,0,0.227832859459693,0,-0.258748792719193,0,1,0,0,0,0,0,0,0
"Phospholipids_LDL",0,0,0,0,0,0,0.382726431662806,0,0,0,0.408905291315597,0,0,0,1,0,0,0,0,0,0.347782039000645
"Phospholipids_HDL",0,0.218449222161823,0,0,0,0,0,0.400234148372516,0,0,0,0.373313480009465,0,0,0,1,0,0.216477409281883,0,0,0
"ApoA1_HDL",0,0,0,0.427451185025414,0,0,0.25682558789726,0.393005780628006,0,0,0,0,0,0,0,0,1,0.469979604726512,0,0,0
"ApoA2_HDL",0.330620213524646,0,0,-0.396065315488687,0,0,-0.241947275507828,0,0,0,0,0,0,0,0,0.216477409281883,0.469979604726513,1,0,0,0.349361843524009
"ApoB_VLDL",0,0,0,0,0.27239782269067,0,0,0,0.30779986089564,0,0,0,0.163639414011708,0,0,0,0,0,1,0,0
"ApoB_IDL",0,0,0.247065572191074,0,0,0.37610549124098,0,0,0,0.270209336763065,0,-0.226136567590126,0,0,0,0,0,0,0,1,0
"ApoB_LDL",0,0,0.552235147244674,0,0,0,0,0,0,0,0,0,0,0,0.347782039000645,0,0,0.349361843524009,0,0,1
