"","Triglycerides_VLDL","Triglycerides_IDL","Triglycerides_LDL","Triglycerides_HDL","Cholesterol_VLDL","Cholesterol_IDL","Cholesterol_LDL","Cholesterol_HDL","FreeCholesterol_VLDL","FreeCholesterol_IDL","FreeCholesterol_LDL","FreeCholesterol_HDL","Phospholipids_VLDL","Phospholipids_IDL","Phospholipids_LDL","Phospholipids_HDL","ApoA1_HDL","ApoA2_HDL","ApoB_VLDL","ApoB_IDL","ApoB_LDL"
"Triglycerides_VLDL",1,0.461539583612413,0,0,0,0,0,0,0,0,0,0,0.285908036731874,0.184249871270092,0,0,0,0.296682885552615,0,0,0
"Triglycerides_IDL",0.461539583612413,1,0,0,0,0,0,0,0,0,0,0,0,0.272474267186106,0,0,0,0,0,0,0
"Triglycerides_LDL",0,0,1,0.246169081728003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2298380095937,0.458352548809312
"Triglycerides_HDL",0,0,0.246169081728002,1,0,0,0,-0.346666566143015,0,0,0,0,0,0,0,0,0.368343627961904,-0.370883561582002,0,0,0
"Cholesterol_VLDL",0,0,0,0,1,0,0,0,0.29812325753398,0,-0.175003457520574,0,0,0.171498814165623,0,0,0,0,0.250429409127509,0,0
"Cholesterol_IDL",0,0,0,0,0,1,0,0,0,0.54849857293399,0,0,0,0,0,0,0,0,0,0.384142140261898,0
"Cholesterol_LDL",0,0,0,0,0,0,1,0,0,0,0.319969131704146,0,0,0.163066696176925,0.355510903947539,0,0.253183824269379,-0.272782891605668,0,0,0.182093827873554
"Cholesterol_HDL",0,0,0,-0.346666566143015,0,0,0,1,0,0,0,0.319310576853355,0,0,0,0.415035600095887,0.382080925115472,0,0,0,0
"FreeCholesterol_VLDL",0,0,0,0,0.298123257533979,0,0,0,1,0,0,0.174506876354954,0.403792380667183,0,0,0,0,0,0.284251643993261,0,0
"FreeCholesterol_IDL",0,0,0,0,0,0.54849857293399,0,0,0,1,0,0,0,0.174132422952788,0,0,0,0,0,0.283754390196193,0
"FreeCholesterol_LDL",0,0,0,0,-0.175003457520574,0,0.319969131704146,0,0,0,1,0.304799740713978,0.222540551776155,0,0.39007696337229,0,0,0,0,0,0
"FreeCholesterol_HDL",0,0,0,0,0,0,0,0.319310576853355,0.174506876354954,0,0.304799740713978,1,0,-0.267192143259118,0,0.372568096601314,0,0,0,-0.18958835983687,0
"Phospholipids_VLDL",0.285908036731874,0,0,0,0,0,0,0,0.403792380667183,0,0.222540551776155,0,1,0,0,0,0,0,0.188810022200603,0,0
"Phospholipids_IDL",0.184249871270093,0.272474267186106,0,0,0.171498814165623,0,0.163066696176924,0,0,0.174132422952788,0,-0.267192143259118,0,1,0,0,0.184778163330249,0,0,0,0
"Phospholipids_LDL",0,0,0,0,0,0,0.355510903947539,0,0,0,0.39007696337229,0,0,0,1,0,0,0,0,0,0.339041198035688
"Phospholipids_HDL",0,0,0,0,0,0,0,0.415035600095887,0,0,0,0.372568096601314,0,0,0,1,0,0.238311533771123,0,0,0
"ApoA1_HDL",0,0,0,0.368343627961905,0,0,0.253183824269379,0.382080925115472,0,0,0,0,0,0.18477816333025,0,0,1,0.433314066415912,0,0,0
"ApoA2_HDL",0.296682885552615,0,0,-0.370883561582002,0,0,-0.272782891605668,0,0,0,0,0,0,0,0,0.238311533771123,0.433314066415912,1,-0.177022516955447,0,0.374896381676644
"ApoB_VLDL",0,0,0,0,0.250429409127509,0,0,0,0.284251643993261,0,0,0,0.188810022200603,0,0,0,0,-0.177022516955447,1,0,0
"ApoB_IDL",0,0,0.2298380095937,0,0,0.384142140261898,0,0,0,0.283754390196193,0,-0.18958835983687,0,0,0,0,0,0,0,1,0
"ApoB_LDL",0,0,0.458352548809312,0,0,0,0.182093827873554,0,0,0,0,0,0,0,0.339041198035688,0,0,0.374896381676643,0,0,1
