"","Triglycerides_VLDL","Triglycerides_IDL","Triglycerides_LDL","Triglycerides_HDL","Cholesterol_VLDL","Cholesterol_IDL","Cholesterol_LDL","Cholesterol_HDL","FreeCholesterol_VLDL","FreeCholesterol_IDL","FreeCholesterol_LDL","FreeCholesterol_HDL","Phospholipids_VLDL","Phospholipids_IDL","Phospholipids_LDL","Phospholipids_HDL","ApoA1_HDL","ApoA2_HDL","ApoB_VLDL","ApoB_IDL","ApoB_LDL"
"Triglycerides_VLDL",1,0.325042013341968,0,0,0,0,0,0,0.143969886657968,0,0,0,0.239228806346391,0,0,0,0,0,0,0,0
"Triglycerides_IDL",0.325042013341968,1,0,0.201115729116852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Triglycerides_LDL",0,0,1,0.281255471088733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.526053866175268
"Triglycerides_HDL",0,0.201115729116852,0.281255471088733,1,0,0,0,0,0,0,0,0,0,0,0,0.194354408576756,0.271058314665951,-0.325443527982607,0.192693043782934,0,0
"Cholesterol_VLDL",0,0,0,0,1,0,0,0,0.223568994511577,0,0,0,0.138776655426964,0.159602350380823,0,0,0,0,0.25656272844006,0,0
"Cholesterol_IDL",0,0,0,0,0,1,0,0,0,0.524112407369921,0,0,0,0.137826724141718,0,0,0,0,0,0.311092203080201,0
"Cholesterol_LDL",0,0,0,0,0,0,1,0,0,0,0.299774461690425,0,0,0.139803673692761,0.363143700630947,0,0,0,0,0,0.205229946381066
"Cholesterol_HDL",0,0,0,0,0,0,0,1,0,0,0,0.406599641486141,0,0,0,0.290405305136975,0.282521279650297,0,0,0,0
"FreeCholesterol_VLDL",0.143969886657968,0,0,0,0.223568994511577,0,0,0,1,0,0,0,0.316098954312622,0,0,0,0,0,0.265368190460757,0,0
"FreeCholesterol_IDL",0,0,0,0,0,0.524112407369921,0,0,0,1,0,0,0,0.214851062105674,0,0,0,0,0,0.278847196028923,0
"FreeCholesterol_LDL",0,0,0,0,0,0,0.299774461690425,0,0,0,1,0.221351867545801,0,0,0.340514268823917,0,0,0,0,0,0.183342086709113
"FreeCholesterol_HDL",0,0,0,0,0,0,0,0.406599641486141,0,0,0.221351867545801,1,0,0,0,0.302975598525821,0,0,0,0,0
"Phospholipids_VLDL",0.239228806346391,0,0,0,0.138776655426964,0,0,0,0.316098954312622,0,0,0,1,0,0,0,0,0,0,0,0
"Phospholipids_IDL",0,0,0,0,0.159602350380823,0.137826724141718,0.139803673692761,0,0,0.214851062105674,0,0,0,1,0,0,0,0,0,0,0
"Phospholipids_LDL",0,0,0,0,0,0,0.363143700630947,0,0,0,0.340514268823917,0,0,0,1,0,0,0,0,0,0.267355062425588
"Phospholipids_HDL",0,0,0,0.194354408576756,0,0,0,0.290405305136975,0,0,0,0.302975598525821,0,0,0,1,0.225821678848039,0.284786412744218,0,0,0
"ApoA1_HDL",0,0,0,0.271058314665951,0,0,0,0.282521279650297,0,0,0,0,0,0,0,0.225821678848039,1,0.285068272743683,0,0,0
"ApoA2_HDL",0,0,0,-0.325443527982607,0,0,0,0,0,0,0,0,0,0,0,0.284786412744218,0.285068272743683,1,0,0,0
"ApoB_VLDL",0,0,0,0.192693043782934,0.25656272844006,0,0,0,0.265368190460757,0,0,0,0,0,0,0,0,0,1,0,0
"ApoB_IDL",0,0,0,0,0,0.311092203080201,0,0,0,0.278847196028923,0,0,0,0,0,0,0,0,0,1,0
"ApoB_LDL",0,0,0.526053866175268,0,0,0,0.205229946381066,0,0,0,0.183342086709113,0,0,0,0.267355062425588,0,0,0,0,0,1
