"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","group","id","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"62","2.05","0.05126856","0.48780488","0.4","6","4","Apo","ApoA1_HDL","false","ApoA1_HDL","5.16666667","6","0","0","0.7375","false","0","ApoA1_HDL","56","0.34444444"
"63","1.9","0.1331309","0.52631579","0.19047619","7","4","Apo","ApoA2_HDL","false","ApoA2_HDL","4.71428571","7","0","0","0.775","false","0","ApoA2_HDL","130","0.2952381"
"64","2.25","0.03665317","0.44444444","0.33333333","4","4","Apo","ApoB_VLDL","false","ApoB_VLDL","4.75","4","0","0","0.6875","false","0","ApoB_VLDL","38","0.375"
"65","2.2","0.20078947","0.45454545","0.16666667","4","3","Apo","ApoB_IDL","false","ApoB_IDL","3.5","4","0","0","0.7","false","0","ApoB_IDL","122","0.3"
"66","2.15","0.04359649","0.46511628","0.33333333","4","3","Apo","ApoB_LDL","false","ApoB_LDL","5.0","4","0","0","0.7125","false","0","ApoB_LDL","40","0.39583333"
"67","2.45","0.01545884","0.40816327","0.33333333","3","4","Cholesterol","Cholesterol_VLDL","false","Cholesterol_VLDL","4.66666667","3","0","0","0.6375","false","0","Cholesterol_VLDL","18","0.48148148"
"68","3.1","0.0","0.32258065","1.0","2","4","Cholesterol","Cholesterol_IDL","false","Cholesterol_IDL","3.0","2","0","0","0.475","false","0","Cholesterol_IDL","0","0.75"
"69","2.0","0.07350877","0.5","0.33333333","6","4","Cholesterol","Cholesterol_LDL","false","Cholesterol_LDL","5.0","6","0","0","0.75","false","0","Cholesterol_LDL","60","0.3125"
"70","2.3","0.01684211","0.43478261","0.5","4","4","Cholesterol","Cholesterol_HDL","false","Cholesterol_HDL","5.0","4","0","0","0.675","false","0","Cholesterol_HDL","18","0.45454545"
"71","2.5","0.0122807","0.4","0.5","4","4","FreeCholesterol","FreeCholesterol_VLDL","false","FreeCholesterol_VLDL","4.25","4","0","0","0.625","false","0","FreeCholesterol_VLDL","12","0.47222222"
"72","3.1","0.0","0.32258065","1.0","2","4","FreeCholesterol","FreeCholesterol_IDL","false","FreeCholesterol_IDL","3.0","2","0","0","0.475","false","0","FreeCholesterol_IDL","0","0.75"
"73","2.0","0.06382591","0.5","0.16666667","4","3","FreeCholesterol","FreeCholesterol_LDL","false","FreeCholesterol_LDL","5.0","4","0","0","0.75","false","0","FreeCholesterol_LDL","52","0.32142857"
"74","1.85","0.20311066","0.54054054","0.13333333","6","3","FreeCholesterol","FreeCholesterol_HDL","false","FreeCholesterol_HDL","4.16666667","6","0","0","0.7875","false","0","FreeCholesterol_HDL","144","0.25555556"
"75","2.0","0.10668691","0.5","0.2","5","3","Phospholipids","Phospholipids_VLDL","false","Phospholipids_VLDL","4.2","5","0","0","0.75","false","0","Phospholipids_VLDL","70","0.29230769"
"76","1.85","0.12293522","0.54054054","0.2","6","3","Phospholipids","Phospholipids_IDL","false","Phospholipids_IDL","4.83333333","6","0","0","0.7875","false","0","Phospholipids_IDL","106","0.29166667"
"77","2.5","0.00368421","0.4","0.66666667","3","4","Phospholipids","Phospholipids_LDL","false","Phospholipids_LDL","4.66666667","3","0","0","0.625","false","0","Phospholipids_LDL","4","0.51851852"
"78","2.15","0.0252834","0.46511628","0.5","4","3","Phospholipids","Phospholipids_HDL","false","Phospholipids_HDL","5.75","4","0","0","0.7125","false","0","Phospholipids_HDL","32","0.44230769"
"79","2.1","0.06278003","0.47619048","0.2","5","4","Triglycerides","Triglycerides_VLDL","false","Triglycerides_VLDL","5.0","5","0","0","0.725","false","0","Triglycerides_VLDL","66","0.34285714"
"80","2.2","0.01049258","0.45454545","0.66666667","3","3","Triglycerides","Triglycerides_IDL","false","Triglycerides_IDL","5.66666667","3","0","0","0.7","false","0","Triglycerides_IDL","14","0.43589744"
"81","2.0","0.13733468","0.5","0.0","4","3","Triglycerides","Triglycerides_LDL","false","Triglycerides_LDL","4.25","4","0","0","0.75","false","0","Triglycerides_LDL","90","0.27083333"
"82","2.15","0.03823212","0.46511628","0.33333333","4","3","Triglycerides","Triglycerides_HDL","false","Triglycerides_HDL","5.25","4","0","0","0.7125","false","0","Triglycerides_HDL","46","0.41666667"
