"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","group","id","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"62","2.55","0.04026316","0.39215686","0.5","5","5","Apo","ApoA1_HDL","false","ApoA1_HDL","5.0","5","0","0","0.77857143","false","0","ApoA1_HDL","82","0.45454545"
"63","2.25","0.22614035","0.44444444","0.26666667","6","5","Apo","ApoA2_HDL","false","ApoA2_HDL","4.66666667","6","0","0","0.82142857","false","0","ApoA2_HDL","288","0.34615385"
"64","3.3","0.03157895","0.3030303","0.5","4","6","Apo","ApoB_VLDL","false","ApoB_VLDL","3.25","4","0","0","0.67142857","false","0","ApoB_VLDL","22","0.54166667"
"65","4.6","0.0","0.2173913","1.0","2","7","Apo","ApoB_IDL","false","ApoB_IDL","2.5","2","0","0","0.48571429","false","0","ApoB_IDL","0","0.83333333"
"66","2.65","0.12201754","0.37735849","0.33333333","4","6","Apo","ApoB_LDL","false","ApoB_LDL","4.5","4","0","0","0.76428571","false","0","ApoB_LDL","124","0.38636364"
"67","3.65","0.0","0.2739726","1.0","2","6","Cholesterol","Cholesterol_VLDL","false","Cholesterol_VLDL","4.0","2","0","0","0.62142857","false","0","Cholesterol_VLDL","0","0.8"
"68","4.6","0.0","0.2173913","1.0","2","7","Cholesterol","Cholesterol_IDL","false","Cholesterol_IDL","2.5","2","0","0","0.48571429","false","0","Cholesterol_IDL","0","0.83333333"
"69","2.65","0.12035088","0.37735849","0.33333333","6","6","Cholesterol","Cholesterol_LDL","false","Cholesterol_LDL","4.16666667","6","0","0","0.76428571","false","0","Cholesterol_LDL","150","0.37878788"
"70","3.0","0.01008772","0.33333333","0.5","4","5","Cholesterol","Cholesterol_HDL","false","Cholesterol_HDL","4.5","4","0","0","0.71428571","false","0","Cholesterol_HDL","8","0.5625"
"71","2.9","0.09368421","0.34482759","0.5","4","5","FreeCholesterol","FreeCholesterol_VLDL","false","FreeCholesterol_VLDL","3.5","4","0","0","0.72857143","false","0","FreeCholesterol_VLDL","80","0.5"
"72","3.7","0.18947368","0.27027027","0.33333333","3","6","FreeCholesterol","FreeCholesterol_IDL","false","FreeCholesterol_IDL","2.0","3","0","0","0.61428571","false","0","FreeCholesterol_IDL","156","0.55555556"
"73","3.15","0.00807018","0.31746032","0.66666667","3","6","FreeCholesterol","FreeCholesterol_LDL","false","FreeCholesterol_LDL","4.33333333","3","0","0","0.69285714","false","0","FreeCholesterol_LDL","16","0.54166667"
"74","2.8","0.06070175","0.35714286","0.33333333","4","5","FreeCholesterol","FreeCholesterol_HDL","false","FreeCholesterol_HDL","4.5","4","0","0","0.74285714","false","0","FreeCholesterol_HDL","64","0.45"
"75","2.8","0.06210526","0.35714286","0.5","4","5","Phospholipids","Phospholipids_VLDL","false","Phospholipids_VLDL","3.75","4","0","0","0.74285714","false","0","Phospholipids_VLDL","52","0.46875"
"76","2.95","0.26842105","0.33898305","0.0","2","5","Phospholipids","Phospholipids_IDL","false","Phospholipids_IDL","3.5","2","0","0","0.72142857","false","0","Phospholipids_IDL","228","0.5"
"77","3.3","0.01140351","0.3030303","0.66666667","3","7","Phospholipids","Phospholipids_LDL","false","Phospholipids_LDL","4.33333333","3","0","0","0.67142857","false","0","Phospholipids_LDL","10","0.61904762"
"78","2.4","0.15350877","0.41666667","0.3","5","4","Phospholipids","Phospholipids_HDL","false","Phospholipids_HDL","4.6","5","0","0","0.8","false","0","Phospholipids_HDL","192","0.44"
"79","2.25","0.29263158","0.44444444","0.16666667","4","4","Triglycerides","Triglycerides_VLDL","false","Triglycerides_VLDL","4.5","4","0","0","0.82142857","false","0","Triglycerides_VLDL","256","0.36363636"
"80","2.3","0.37938596","0.43478261","0.0","4","4","Triglycerides","Triglycerides_IDL","false","Triglycerides_IDL","3.75","4","0","0","0.81428571","false","0","Triglycerides_IDL","354","0.39285714"
"81","2.9","0.07666667","0.34482759","0.33333333","3","6","Triglycerides","Triglycerides_LDL","false","Triglycerides_LDL","4.0","3","0","0","0.72857143","false","0","Triglycerides_LDL","64","0.45833333"
"82","2.5","0.0745614","0.4","0.33333333","4","4","Triglycerides","Triglycerides_HDL","false","Triglycerides_HDL","4.75","4","0","0","0.78571429","false","0","Triglycerides_HDL","122","0.5"
