"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","group","id","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"62","3.25","0.05263158","0.30769231","0.33333333","4","6","Apo","ApoA1_HDL","false","ApoA1_HDL","3.25","4","0","0","0.67857143","false","0","ApoA1_HDL","36","0.46428571"
"63","3.4","0.0","0.29411765","1.0","2","6","Apo","ApoA2_HDL","false","ApoA2_HDL","4.0","2","0","0","0.65714286","false","0","ApoA2_HDL","0","0.66666667"
"64","2.85","0.06219298","0.35087719","0.5","4","4","Apo","ApoB_VLDL","false","ApoB_VLDL","3.75","4","0","0","0.73571429","false","0","ApoB_VLDL","58","0.53571429"
"65","4.3","0.0","0.23255814","1.0","2","7","Apo","ApoB_IDL","false","ApoB_IDL","2.5","2","0","0","0.52857143","false","0","ApoB_IDL","0","0.83333333"
"66","2.55","0.14736842","0.39215686","0.5","4","4","Apo","ApoB_LDL","false","ApoB_LDL","3.75","4","0","0","0.77857143","false","0","ApoB_LDL","74","0.5"
"67","3.3","0.01008772","0.3030303","0.66666667","3","5","Cholesterol","Cholesterol_VLDL","false","Cholesterol_VLDL","4.0","3","0","0","0.67142857","false","0","Cholesterol_VLDL","12","0.66666667"
"68","4.3","0.0","0.23255814","1.0","2","7","Cholesterol","Cholesterol_IDL","false","Cholesterol_IDL","2.5","2","0","0","0.52857143","false","0","Cholesterol_IDL","0","0.83333333"
"69","2.55","0.25192982","0.39215686","0.5","4","4","Cholesterol","Cholesterol_LDL","false","Cholesterol_LDL","3.5","4","0","0","0.77857143","false","0","Cholesterol_LDL","114","0.46428571"
"70","2.95","0.16394737","0.33898305","0.33333333","4","6","Cholesterol","Cholesterol_HDL","false","Cholesterol_HDL","3.25","4","0","0","0.72142857","false","0","Cholesterol_HDL","98","0.42857143"
"71","3.1","0.02719298","0.32258065","0.5","4","5","FreeCholesterol","FreeCholesterol_VLDL","false","FreeCholesterol_VLDL","3.5","4","0","0","0.7","false","0","FreeCholesterol_VLDL","24","0.58333333"
"72","3.4","0.18947368","0.29411765","0.33333333","3","6","FreeCholesterol","FreeCholesterol_IDL","false","FreeCholesterol_IDL","2.33333333","3","0","0","0.65714286","false","0","FreeCholesterol_IDL","88","0.5"
"73","2.75","0.12210526","0.36363636","0.5","4","4","FreeCholesterol","FreeCholesterol_LDL","false","FreeCholesterol_LDL","3.75","4","0","0","0.75","false","0","FreeCholesterol_LDL","60","0.5"
"74","3.85","0.0","0.25974026","1.0","2","7","FreeCholesterol","FreeCholesterol_HDL","false","FreeCholesterol_HDL","3.5","2","0","0","0.59285714","false","0","FreeCholesterol_HDL","0","0.875"
"75","2.6","0.22482456","0.38461538","0.33333333","4","5","Phospholipids","Phospholipids_VLDL","false","Phospholipids_VLDL","3.75","4","0","0","0.77142857","false","0","Phospholipids_VLDL","144","0.4375"
"76","2.65","0.33482456","0.37735849","0.0","3","5","Phospholipids","Phospholipids_IDL","false","Phospholipids_IDL","3.66666667","3","0","0","0.76428571","false","0","Phospholipids_IDL","166","0.33333333"
"77","2.95","0.0","0.33898305","1.0","3","4","Phospholipids","Phospholipids_LDL","false","Phospholipids_LDL","4.0","3","0","0","0.72142857","false","0","Phospholipids_LDL","0","0.66666667"
"78","3.65","0.00833333","0.2739726","0.66666667","3","7","Phospholipids","Phospholipids_HDL","false","Phospholipids_HDL","3.33333333","3","0","0","0.62142857","false","0","Phospholipids_HDL","8","0.55555556"
"79","2.9","0.03938596","0.34482759","0.33333333","3","4","Triglycerides","Triglycerides_VLDL","false","Triglycerides_VLDL","4.0","3","0","0","0.72857143","false","0","Triglycerides_VLDL","38","0.61111111"
"80","2.9","0.1504386","0.34482759","0.16666667","4","5","Triglycerides","Triglycerides_IDL","false","Triglycerides_IDL","3.25","4","0","0","0.72857143","false","0","Triglycerides_IDL","94","0.45833333"
"81","2.35","0.36342105","0.42553191","0.0","4","5","Triglycerides","Triglycerides_LDL","false","Triglycerides_LDL","4.0","4","0","0","0.80714286","false","0","Triglycerides_LDL","214","0.3"
"82","2.65","0.17815789","0.37735849","0.16666667","4","5","Triglycerides","Triglycerides_HDL","false","Triglycerides_HDL","3.5","4","0","0","0.76428571","false","0","Triglycerides_HDL","110","0.375"
