"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","group","id","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"62","2.0","0.09276942","0.5","0.4","6","4","Apo","ApoA1_HDL","false","ApoA1_HDL","4.83333333","6","0","0","0.8","false","0","ApoA1_HDL","70","0.32222222"
"63","2.1","0.10088972","0.47619048","0.3","5","4","Apo","ApoA2_HDL","false","ApoA2_HDL","4.8","5","0","0","0.78","false","0","ApoA2_HDL","78","0.36666667"
"64","2.4","0.06317043","0.41666667","0.33333333","4","4","Apo","ApoB_VLDL","false","ApoB_VLDL","3.5","4","0","0","0.72","false","0","ApoB_VLDL","58","0.40625"
"65","2.3","0.10122807","0.43478261","0.16666667","4","4","Apo","ApoB_IDL","false","ApoB_IDL","3.5","4","0","0","0.74","false","0","ApoB_IDL","68","0.33333333"
"66","2.25","0.06057644","0.44444444","0.5","4","3","Apo","ApoB_LDL","false","ApoB_LDL","4.25","4","0","0","0.75","false","0","ApoB_LDL","42","0.4"
"67","2.65","0.05901003","0.37735849","0.33333333","3","5","Cholesterol","Cholesterol_VLDL","false","Cholesterol_VLDL","4.0","3","0","0","0.67","false","0","Cholesterol_VLDL","42","0.45833333"
"68","3.05","0.0","0.32786885","1.0","2","5","Cholesterol","Cholesterol_IDL","false","Cholesterol_IDL","3.5","2","0","0","0.59","false","0","Cholesterol_IDL","0","0.7"
"69","2.05","0.10580201","0.48780488","0.4","5","3","Cholesterol","Cholesterol_LDL","false","Cholesterol_LDL","4.4","5","0","0","0.79","false","0","Cholesterol_LDL","72","0.31428571"
"70","2.4","0.01491228","0.41666667","0.66666667","4","4","Cholesterol","Cholesterol_HDL","false","Cholesterol_HDL","5.0","4","0","0","0.72","false","0","Cholesterol_HDL","16","0.5"
"71","2.75","0.01320802","0.36363636","0.66666667","3","4","FreeCholesterol","FreeCholesterol_VLDL","false","FreeCholesterol_VLDL","3.66666667","3","0","0","0.65","false","0","FreeCholesterol_VLDL","18","0.52380952"
"72","2.6","0.03912281","0.38461538","0.33333333","3","4","FreeCholesterol","FreeCholesterol_IDL","false","FreeCholesterol_IDL","3.33333333","3","0","0","0.68","false","0","FreeCholesterol_IDL","28","0.42857143"
"73","2.25","0.11982456","0.44444444","0.3","5","4","FreeCholesterol","FreeCholesterol_LDL","false","FreeCholesterol_LDL","3.6","5","0","0","0.75","false","0","FreeCholesterol_LDL","78","0.32"
"74","2.5","0.03978697","0.4","0.33333333","3","4","FreeCholesterol","FreeCholesterol_HDL","false","FreeCholesterol_HDL","4.66666667","3","0","0","0.7","false","0","FreeCholesterol_HDL","30","0.48148148"
"75","2.35","0.0897995","0.42553191","0.16666667","4","4","Phospholipids","Phospholipids_VLDL","false","Phospholipids_VLDL","3.5","4","0","0","0.73","false","0","Phospholipids_VLDL","70","0.375"
"76","2.05","0.11636591","0.48780488","0.16666667","4","3","Phospholipids","Phospholipids_IDL","false","Phospholipids_IDL","4.5","4","0","0","0.79","false","0","Phospholipids_IDL","80","0.30769231"
"77","2.55","0.0","0.39215686","1.0","3","4","Phospholipids","Phospholipids_LDL","false","Phospholipids_LDL","4.66666667","3","0","0","0.69","false","0","Phospholipids_LDL","0","0.58333333"
"78","2.2","0.04785714","0.45454545","0.6","5","4","Phospholipids","Phospholipids_HDL","false","Phospholipids_HDL","4.8","5","0","0","0.76","false","0","Phospholipids_HDL","42","0.4"
"79","2.4","0.03438596","0.41666667","0.0","3","4","Triglycerides","Triglycerides_VLDL","false","Triglycerides_VLDL","4.33333333","3","0","0","0.72","false","0","Triglycerides_VLDL","32","0.41666667"
"80","2.1","0.10203008","0.47619048","0.0","4","3","Triglycerides","Triglycerides_IDL","false","Triglycerides_IDL","4.25","4","0","0","0.78","false","0","Triglycerides_IDL","78","0.325"
"81","1.95","0.1608396","0.51282051","0.0","4","3","Triglycerides","Triglycerides_LDL","false","Triglycerides_LDL","4.5","4","0","0","0.81","false","0","Triglycerides_LDL","112","0.26923077"
"82","2.0","0.10684211","0.5","0.33333333","6","3","Triglycerides","Triglycerides_HDL","false","Triglycerides_HDL","4.66666667","6","0","0","0.8","false","0","Triglycerides_HDL","88","0.36111111"
