"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","group","id","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"62","2.4","0.02017544","0.41666667","0.5","4","4","Apo","ApoA1_HDL","false","ApoA1_HDL","4.5","4","0","0","0.65","false","0","ApoA1_HDL","20","0.40909091"
"63","2.05","0.13421053","0.48780488","0.13333333","6","4","Apo","ApoA2_HDL","false","ApoA2_HDL","3.83333333","6","0","0","0.7375","false","0","ApoA2_HDL","120","0.3030303"
"64","2.6","0.00372807","0.38461538","0.66666667","3","4","Apo","ApoB_VLDL","false","ApoB_VLDL","4.33333333","3","0","0","0.6","false","0","ApoB_VLDL","6","0.54166667"
"65","2.25","0.12421053","0.44444444","0.16666667","4","3","Apo","ApoB_IDL","false","ApoB_IDL","3.5","4","0","0","0.6875","false","0","ApoB_IDL","92","0.33333333"
"66","2.15","0.08385965","0.46511628","0.0","4","3","Apo","ApoB_LDL","false","ApoB_LDL","4.25","4","0","0","0.7125","false","0","ApoB_LDL","92","0.36111111"
"67","2.35","0.04885965","0.42553191","0.16666667","4","4","Cholesterol","Cholesterol_VLDL","false","Cholesterol_VLDL","4.25","4","0","0","0.6625","false","0","Cholesterol_VLDL","44","0.41666667"
"68","2.95","0.0","0.33898305","1.0","2","4","Cholesterol","Cholesterol_IDL","false","Cholesterol_IDL","3.5","2","0","0","0.5125","false","0","Cholesterol_IDL","0","0.7"
"69","2.3","0.04464912","0.43478261","0.33333333","4","4","Cholesterol","Cholesterol_LDL","false","Cholesterol_LDL","4.5","4","0","0","0.675","false","0","Cholesterol_LDL","38","0.375"
"70","2.25","0.04754386","0.44444444","0.33333333","4","3","Cholesterol","Cholesterol_HDL","false","Cholesterol_HDL","4.25","4","0","0","0.6875","false","0","Cholesterol_HDL","38","0.38636364"
"71","2.25","0.04859649","0.44444444","0.33333333","4","3","FreeCholesterol","FreeCholesterol_VLDL","false","FreeCholesterol_VLDL","4.5","4","0","0","0.6875","false","0","FreeCholesterol_VLDL","44","0.425"
"72","2.6","0.03986842","0.38461538","0.33333333","3","4","FreeCholesterol","FreeCholesterol_IDL","false","FreeCholesterol_IDL","3.66666667","3","0","0","0.6","false","0","FreeCholesterol_IDL","28","0.47619048"
"73","2.0","0.12679825","0.5","0.1","5","3","FreeCholesterol","FreeCholesterol_LDL","false","FreeCholesterol_LDL","4.4","5","0","0","0.75","false","0","FreeCholesterol_LDL","122","0.31666667"
"74","1.75","0.24618421","0.57142857","0.06666667","6","3","FreeCholesterol","FreeCholesterol_HDL","false","FreeCholesterol_HDL","4.16666667","6","0","0","0.8125","false","0","FreeCholesterol_HDL","188","0.23333333"
"75","2.15","0.09864035","0.46511628","0.1","5","4","Phospholipids","Phospholipids_VLDL","false","Phospholipids_VLDL","4.0","5","0","0","0.7125","false","0","Phospholipids_VLDL","94","0.34"
"76","2.05","0.14464912","0.48780488","0.1","5","3","Phospholipids","Phospholipids_IDL","false","Phospholipids_IDL","3.8","5","0","0","0.7375","false","0","Phospholipids_IDL","112","0.29090909"
"77","2.55","0.01135965","0.39215686","0.33333333","3","4","Phospholipids","Phospholipids_LDL","false","Phospholipids_LDL","4.33333333","3","0","0","0.6125","false","0","Phospholipids_LDL","14","0.5"
"78","2.25","0.01552632","0.44444444","0.33333333","3","3","Phospholipids","Phospholipids_HDL","false","Phospholipids_HDL","5.33333333","3","0","0","0.6875","false","0","Phospholipids_HDL","16","0.45454545"
"79","2.05","0.10333333","0.48780488","0.16666667","4","3","Triglycerides","Triglycerides_VLDL","false","Triglycerides_VLDL","4.5","4","0","0","0.7375","false","0","Triglycerides_VLDL","82","0.30769231"
"80","2.65","0.0","0.37735849","1.0","2","4","Triglycerides","Triglycerides_IDL","false","Triglycerides_IDL","4.5","2","0","0","0.5875","false","0","Triglycerides_IDL","0","0.64285714"
"81","2.4","0.06333333","0.41666667","0.0","3","4","Triglycerides","Triglycerides_LDL","false","Triglycerides_LDL","4.0","3","0","0","0.65","false","0","Triglycerides_LDL","48","0.375"
"82","2.4","0.03657895","0.41666667","0.33333333","4","4","Triglycerides","Triglycerides_HDL","false","Triglycerides_HDL","4.25","4","0","0","0.65","false","0","Triglycerides_HDL","36","0.44444444"
