"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","group","id","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"210","1.95","0.0531203","0.51282051","0.4","5","3","Apo","ApoA1_HDL","false","ApoA1_HDL","5.6","5","0","0","0.7625","false","0","ApoA1_HDL","52","0.35"
"211","1.85","0.16738095","0.54054054","0.14285714","7","4","Apo","ApoA2_HDL","false","ApoA2_HDL","4.28571429","7","0","0","0.7875","false","0","ApoA2_HDL","152","0.2755102"
"212","2.25","0.04360902","0.44444444","0.33333333","4","4","Apo","ApoB_VLDL","false","ApoB_VLDL","4.75","4","0","0","0.6875","false","0","ApoB_VLDL","42","0.375"
"213","2.8","0.03636591","0.35714286","0.33333333","3","4","Apo","ApoB_IDL","false","ApoB_IDL","2.66666667","3","0","0","0.55","false","0","ApoB_IDL","26","0.46666667"
"214","2.2","0.06660401","0.45454545","0.33333333","4","3","Apo","ApoB_LDL","false","ApoB_LDL","4.75","4","0","0","0.7","false","0","ApoB_LDL","70","0.40909091"
"215","2.2","0.04973684","0.45454545","0.16666667","4","4","Cholesterol","Cholesterol_VLDL","false","Cholesterol_VLDL","5.0","4","0","0","0.7","false","0","Cholesterol_VLDL","44","0.40909091"
"216","3.1","0.0","0.32258065","1.0","2","4","Cholesterol","Cholesterol_IDL","false","Cholesterol_IDL","3.0","2","0","0","0.475","false","0","Cholesterol_IDL","0","0.75"
"217","1.85","0.09711779","0.54054054","0.33333333","6","3","Cholesterol","Cholesterol_LDL","false","Cholesterol_LDL","5.16666667","6","0","0","0.7875","false","0","Cholesterol_LDL","88","0.30392157"
"218","2.35","0.02894737","0.42553191","0.33333333","4","4","Cholesterol","Cholesterol_HDL","false","Cholesterol_HDL","4.25","4","0","0","0.6625","false","0","Cholesterol_HDL","22","0.425"
"219","2.45","0.01929825","0.40816327","0.33333333","4","4","FreeCholesterol","FreeCholesterol_VLDL","false","FreeCholesterol_VLDL","4.25","4","0","0","0.6375","false","0","FreeCholesterol_VLDL","18","0.44444444"
"220","2.35","0.12434837","0.42553191","0.33333333","3","3","FreeCholesterol","FreeCholesterol_IDL","false","FreeCholesterol_IDL","4.0","3","0","0","0.6625","false","0","FreeCholesterol_IDL","78","0.40740741"
"221","2.15","0.06773183","0.46511628","0.1","5","4","FreeCholesterol","FreeCholesterol_LDL","false","FreeCholesterol_LDL","4.4","5","0","0","0.7125","false","0","FreeCholesterol_LDL","70","0.34545455"
"222","1.95","0.10692982","0.51282051","0.1","5","3","FreeCholesterol","FreeCholesterol_HDL","false","FreeCholesterol_HDL","4.6","5","0","0","0.7625","false","0","FreeCholesterol_HDL","92","0.30769231"
"223","2.4","0.02763158","0.41666667","0.16666667","4","4","Phospholipids","Phospholipids_VLDL","false","Phospholipids_VLDL","4.25","4","0","0","0.65","false","0","Phospholipids_VLDL","24","0.41666667"
"224","1.7","0.29234336","0.58823529","0.0952381","7","3","Phospholipids","Phospholipids_IDL","false","Phospholipids_IDL","4.14285714","7","0","0","0.825","false","0","Phospholipids_IDL","202","0.23214286"
"225","2.4","0.01189223","0.41666667","0.66666667","3","4","Phospholipids","Phospholipids_LDL","false","Phospholipids_LDL","5.0","3","0","0","0.65","false","0","Phospholipids_LDL","16","0.5"
"226","2.35","0.01175439","0.42553191","0.33333333","3","4","Phospholipids","Phospholipids_HDL","false","Phospholipids_HDL","5.33333333","3","0","0","0.6625","false","0","Phospholipids_HDL","12","0.45454545"
"227","2.05","0.065","0.48780488","0.16666667","4","3","Triglycerides","Triglycerides_VLDL","false","Triglycerides_VLDL","5.0","4","0","0","0.7375","false","0","Triglycerides_VLDL","52","0.34615385"
"228","2.5","0.0","0.4","1.0","2","4","Triglycerides","Triglycerides_IDL","false","Triglycerides_IDL","5.5","2","0","0","0.625","false","0","Triglycerides_IDL","0","0.61111111"
"229","2.55","0.06842105","0.39215686","0.0","3","4","Triglycerides","Triglycerides_LDL","false","Triglycerides_LDL","3.66666667","3","0","0","0.6125","false","0","Triglycerides_LDL","52","0.38095238"
"230","2.2","0.06176692","0.45454545","0.33333333","4","3","Triglycerides","Triglycerides_HDL","false","Triglycerides_HDL","4.75","4","0","0","0.7","false","0","Triglycerides_HDL","60","0.40909091"
