"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","group","id","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"501","2.95","0.02368421","0.33898305","0.66666667","4","6","Apo","ApoA1_HDL","false","ApoA1_HDL","4.25","4","0","0","0.675","false","0","ApoA1_HDL","22","0.53125"
"502","3.0","0.0","0.33333333","1.0","3","6","Apo","ApoA2_HDL","false","ApoA2_HDL","5.0","3","0","0","0.66666667","false","0","ApoA2_HDL","0","0.625"
"503","2.45","0.17982456","0.40816327","0.33333333","3","4","Apo","ApoB_VLDL","false","ApoB_VLDL","4.66666667","3","0","0","0.75833333","false","0","ApoB_VLDL","118","0.43333333"
"504","4.2","0.0","0.23809524","1.0","2","6","Apo","ApoB_IDL","false","ApoB_IDL","3.0","2","0","0","0.46666667","false","0","ApoB_IDL","0","1.0"
"505","2.65","0.08201754","0.37735849","0.5","4","4","Apo","ApoB_LDL","false","ApoB_LDL","3.25","4","0","0","0.725","false","0","ApoB_LDL","46","0.5"
"506","2.45","0.25526316","0.40816327","0.33333333","4","4","Cholesterol","Cholesterol_VLDL","false","Cholesterol_VLDL","3.5","4","0","0","0.75833333","false","0","Cholesterol_VLDL","174","0.40625"
"507","3.3","0.04736842","0.3030303","0.66666667","3","5","Cholesterol","Cholesterol_IDL","false","Cholesterol_IDL","3.0","3","0","0","0.61666667","false","0","Cholesterol_IDL","44","0.6"
"508","2.55","0.19605263","0.39215686","0.5","4","4","Cholesterol","Cholesterol_LDL","false","Cholesterol_LDL","3.75","4","0","0","0.74166667","false","0","Cholesterol_LDL","104","0.4375"
"509","3.2","0.00877193","0.3125","0.66666667","3","6","Cholesterol","Cholesterol_HDL","false","Cholesterol_HDL","4.0","3","0","0","0.63333333","false","0","Cholesterol_HDL","8","0.66666667"
"510","2.75","0.04736842","0.36363636","0.5","4","4","FreeCholesterol","FreeCholesterol_VLDL","false","FreeCholesterol_VLDL","3.25","4","0","0","0.70833333","false","0","FreeCholesterol_VLDL","50","0.46428571"
"511","3.3","0.04736842","0.3030303","0.66666667","3","5","FreeCholesterol","FreeCholesterol_IDL","false","FreeCholesterol_IDL","3.0","3","0","0","0.61666667","false","0","FreeCholesterol_IDL","44","0.6"
"512","2.75","0.11622807","0.36363636","0.5","4","5","FreeCholesterol","FreeCholesterol_LDL","false","FreeCholesterol_LDL","3.5","4","0","0","0.70833333","false","0","FreeCholesterol_LDL","66","0.46428571"
"513","2.85","0.10219298","0.35087719","0.33333333","3","5","FreeCholesterol","FreeCholesterol_HDL","false","FreeCholesterol_HDL","4.0","3","0","0","0.69166667","false","0","FreeCholesterol_HDL","62","0.45833333"
"514","3.15","0.02763158","0.31746032","0.66666667","3","5","Phospholipids","Phospholipids_VLDL","false","Phospholipids_VLDL","3.66666667","3","0","0","0.64166667","false","0","Phospholipids_VLDL","30","0.61111111"
"515","2.5","0.35394737","0.4","0.16666667","4","4","Phospholipids","Phospholipids_IDL","false","Phospholipids_IDL","3.5","4","0","0","0.75","false","0","Phospholipids_IDL","214","0.33333333"
"516","3.0","0.0","0.33333333","1.0","3","5","Phospholipids","Phospholipids_LDL","false","Phospholipids_LDL","4.0","3","0","0","0.66666667","false","0","Phospholipids_LDL","0","0.66666667"
"517","2.75","0.09210526","0.36363636","0.5","5","6","Phospholipids","Phospholipids_HDL","false","Phospholipids_HDL","3.8","5","0","0","0.70833333","false","0","Phospholipids_HDL","66","0.42222222"
"518","3.15","0.03991228","0.31746032","0.33333333","3","5","Triglycerides","Triglycerides_VLDL","false","Triglycerides_VLDL","3.0","3","0","0","0.64166667","false","0","Triglycerides_VLDL","44","0.53333333"
"519","3.0","0.05833333","0.33333333","0.0","2","6","Triglycerides","Triglycerides_IDL","false","Triglycerides_IDL","4.5","2","0","0","0.66666667","false","0","Triglycerides_IDL","40","0.5"
"520","2.65","0.07938596","0.37735849","0.0","2","5","Triglycerides","Triglycerides_LDL","false","Triglycerides_LDL","5.0","2","0","0","0.725","false","0","Triglycerides_LDL","44","0.5"
"521","2.3","0.34254386","0.43478261","0.2","6","5","Triglycerides","Triglycerides_HDL","false","Triglycerides_HDL","3.16666667","6","0","0","0.78333333","false","0","Triglycerides_HDL","210","0.2962963"
