"","AUC","CI.AUC Lower","CI.AUC Upper","Threshold","Accuracy","Specificity","Sensitivity","P-value","Adjusted P-value"
"Triglycerides & VLDL",0.713,0.664,0.761,43.06,0.676,0.634,0.718,0,0
"Triglycerides & IDL",0.72,0.672,0.768,2.735,0.678,0.854,0.505,0,0
"Triglycerides & LDL",0.683,0.633,0.734,6.45,0.662,0.563,0.759,0,0
"Triglycerides & HDL",0.674,0.623,0.724,7.235,0.639,0.62,0.657,0,0
"Cholesterol & VLDL",0.686,0.636,0.736,16.16,0.65,0.502,0.796,0,0
"Cholesterol & IDL",0.688,0.638,0.739,7.725,0.65,0.559,0.741,0,0
"Cholesterol & LDL",0.546,0.491,0.601,172.06,0.562,0.437,0.685,0.1,1
"Cholesterol & HDL",0.53,0.475,0.585,62.675,0.534,0.653,0.417,0.281,1
"Free Cholesterol & VLDL",0.733,0.686,0.78,7.275,0.695,0.676,0.713,0,0
"Free Cholesterol & IDL",0.684,0.633,0.734,2.455,0.646,0.498,0.792,0,0
"Free Cholesterol & LDL",0.591,0.537,0.645,41.69,0.592,0.507,0.676,0.001,0.069
"Free Cholesterol & HDL",0.586,0.533,0.64,11.43,0.573,0.789,0.361,0.002,0.126
"Phospholipids & VLDL",0.719,0.671,0.768,19.98,0.688,0.638,0.736,0,0
"Phospholipids & IDL",0.659,0.607,0.71,5.295,0.634,0.587,0.681,0,0
"Phospholipids & LDL",0.591,0.537,0.644,79.65,0.59,0.563,0.616,0.001,0.074
"Phospholipids & HDL",0.575,0.521,0.629,74.86,0.566,0.535,0.597,0.007,0.438
"Apo-A1 & HDL",0.553,0.498,0.607,178.4,0.562,0.23,0.889,0.059,1
"Apo-A2 & HDL",0.581,0.527,0.635,27.345,0.578,0.549,0.606,0.004,0.227
"Apo-B & VLDL",0.72,0.672,0.768,6.92,0.671,0.577,0.764,0,0
"Apo-B & IDL",0.71,0.66,0.759,2.765,0.681,0.765,0.597,0,0
"Apo-B & LDL",0.665,0.614,0.716,65.055,0.636,0.563,0.708,0,0
