"","AUC","CI.AUC Lower","CI.AUC Upper","Threshold","Accuracy","Specificity","Sensitivity","P-value","Adjusted P-value"
"1",0.627,0.584,0.67,42.79,0.527,0.449,0.809,0,0
"2",0.578,0.535,0.622,7.7,0.444,0.342,0.814,0.001,0.071
"3",0.622,0.577,0.667,5.06,0.582,0.57,0.623,0,0
"4",0.623,0.577,0.669,6.795,0.532,0.486,0.699,0,0
"5",0.648,0.605,0.692,12.45,0.533,0.469,0.765,0,0
"6",0.644,0.599,0.69,5.265,0.6,0.585,0.65,0,0
"7",0.554,0.507,0.601,153.59,0.524,0.501,0.607,0.026,1
"8",0.715,0.672,0.758,76.655,0.755,0.82,0.519,0,0
"9",0.628,0.585,0.671,7.755,0.514,0.439,0.787,0,0
"10",0.637,0.591,0.683,1.525,0.597,0.585,0.639,0,0
"11",0.539,0.49,0.588,35.695,0.62,0.676,0.415,0.108,1
"12",0.784,0.747,0.82,15.53,0.763,0.793,0.656,0,0
"13",0.666,0.623,0.709,16.775,0.604,0.576,0.705,0,0
"14",0.616,0.571,0.661,4.165,0.592,0.581,0.634,0,0
"15",0.524,0.476,0.571,73.06,0.552,0.569,0.492,0.325,1
"16",0.793,0.756,0.83,85.085,0.763,0.785,0.683,0,0
"17",0.689,0.644,0.735,166.26,0.674,0.681,0.65,0,0
"18",0.656,0.612,0.701,28.655,0.633,0.634,0.628,0,0
"19",0.64,0.595,0.685,4.645,0.642,0.67,0.541,0,0
"20",0.605,0.557,0.652,1.82,0.684,0.755,0.426,0,0.001
"21",0.524,0.477,0.572,65.385,0.582,0.622,0.437,0.315,1
