"","AUC","CI.AUC Lower","CI.AUC Upper","Threshold","Accuracy","Specificity","Sensitivity","P-value","Adjusted P-value"
"Triglycerides & VLDL",0.566,0.46,0.671,18.89,0.586,0.65,0.518,0.223,1
"Triglycerides & IDL",0.634,0.53,0.737,1.945,0.672,0.867,0.464,0.013,0.82
"Triglycerides & LDL",0.674,0.575,0.772,3.735,0.664,0.867,0.446,0.001,0.079
"Triglycerides & HDL",0.506,0.397,0.615,6.66,0.569,0.817,0.304,0.916,1
"Cholesterol & VLDL",0.473,0.366,0.579,1.27,0.517,0.15,0.911,0.613,1
"Cholesterol & IDL",0.682,0.585,0.779,3.47,0.69,0.7,0.679,0.001,0.042
"Cholesterol & LDL",0.755,0.667,0.844,127.515,0.716,0.85,0.571,0,0
"Cholesterol & HDL",0.608,0.505,0.711,70.075,0.621,0.8,0.429,0.045,1
"Free Cholesterol & VLDL",0.544,0.438,0.65,3.665,0.56,0.733,0.375,0.414,1
"Free Cholesterol & IDL",0.683,0.586,0.78,0.99,0.681,0.7,0.661,0.001,0.04
"Free Cholesterol & LDL",0.802,0.721,0.883,34.38,0.767,0.9,0.625,0,0
"Free Cholesterol & HDL",0.603,0.499,0.707,13.635,0.612,0.95,0.25,0.056,1
"Phospholipids & VLDL",0.538,0.432,0.645,8.63,0.578,0.767,0.375,0.478,1
"Phospholipids & IDL",0.681,0.584,0.779,4.72,0.664,0.517,0.821,0.001,0.049
"Phospholipids & LDL",0.782,0.698,0.866,77.145,0.733,0.683,0.786,0,0
"Phospholipids & HDL",0.56,0.453,0.667,78.43,0.612,0.883,0.321,0.269,1
"Apo-A1 & HDL",0.621,0.516,0.727,171.57,0.655,0.733,0.571,0.024,1
"Apo-A2 & HDL",0.665,0.565,0.764,25.345,0.647,0.95,0.321,0.002,0.143
"Apo-B & VLDL",0.56,0.454,0.666,4.06,0.586,0.633,0.536,0.264,1
"Apo-B & IDL",0.704,0.608,0.799,1.75,0.672,0.75,0.589,0,0.01
"Apo-B & LDL",0.793,0.71,0.875,55.495,0.75,0.867,0.625,0,0
